1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Papum Pare Rural,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,8,11,11,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,8,18,76
13,Siang East,5,0,11,11,0,11,0,0,0,0,0,1,7,0,0,0,27,15,6,9,0,0,0,12,10,2,0,0,0,0,0,0,9,5,2,0,0,0,2,0,0,2,13,2,1,1,0,0,0,3,6,0,2,0,0,0,0,7,6,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,32,43,21,4,17,6,9,0,1,1,0,0,0,1,0,113,0,0,0,0,0,11,0,0,0,0,0,7,4,11,0,0,0,0,28,10,4,14,0,0,0,0,1,0,4,0,11,0,0,0,44,34,288
14,Siang Upper,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,12,6,3,1,0,2,0,6,4,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,10,4,6,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,5,6,52
15,Siang West,2,1,6,6,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18,8,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,6,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,5,0,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,9,1,10,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,4,17,87
16,Subansiri Lower,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,10,5,0,5,1,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,19,78
17,Subansiri Upper,4,0,1,1,1,0,0,0,0,0,0,2,6,0,0,0,24,12,10,2,0,0,0,12,9,3,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,5,0,5,3,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,3,0,0,0,0,0,3,0,4,0,0,0,0,7,1,6,0,0,0,0,0,0,0,1,11,5,0,1,0,25,12,111
18,Tawang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,8,10,1,9,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,5,1,6,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,49
19,Tirap,3,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,3,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,13,10,0,10,13,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,57
20,Namsai,7,0,8,7,2,5,0,0,0,1,0,0,3,0,0,0,19,15,9,6,0,0,0,4,2,2,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,3,0,0,0,0,2,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,17,13,0,13,6,9,0,2,2,0,0,0,2,0,61,0,0,0,0,0,3,0,0,0,0,0,2,1,3,0,0,0,0,7,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,9,6,131
21,Siang,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11,5,3,2,0,0,0,6,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,8,5,0,5,0,1,0,0,0,0,0,0,1,0,18,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,11,0,0,1,0,15,2,56
22,Kamle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,13
24,Lower Siang,1,1,3,2,0,2,0,0,0,1,0,0,0,0,0,0,26,15,9,5,0,1,0,11,8,2,0,0,0,1,0,0,3,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,43,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,7,1,6,3,0,3,2,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,3,1,0,0,2,4,0,7,1,0,0,0,2,0,0,2,0,0,0,0,0,0,10,3,0,0,0,0,16,2,90
,Total,79,7,100,78,12,66,0,0,0,22,0,6,41,1,0,0,344,152,81,47,2,3,19,192,114,77,0,0,0,1,0,4,97,80,12,0,0,0,12,1,0,4,117,38,1,37,1,0,8,16,7,0,47,1,0,0,0,59,24,0,880,1,0,1,1,0,20,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,12,0,0,0,0,20,581,263,318,210,25,185,93,58,0,6,6,0,0,0,15,0,963,2,0,0,1,1,98,7,1,0,0,6,64,27,100,1,7,0,0,141,23,35,83,0,0,0,0,2,2,35,40,56,0,2,5,291,310,2565
State: Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BIEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,Barpeta,50,5,125,125,0,125,0,0,0,0,22,0,116,5,0,0,1235,0,0,0,0,0,0,1235,0,1235,0,0,0,0,0,0,261,57,62,0,0,0,62,137,0,5,747,383,5,378,0,0,3,334,27,0,0,8,0,0,0,176,52,1,2803,0,0,0,0,11,146,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,127,0,0,0,0,157,639,183,456,208,0,208,11,22,0,8,8,0,0,0,235,0,1123,7,0,0,0,7,68,0,0,0,0,0,0,68,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,24,792,0,0,0,875,1408,6441
3,Baksa,30,0,64,61,61,0,0,0,0,3,3,11,39,3,5,0,227,124,71,26,1,19,7,103,103,0,0,0,0,0,0,0,45,38,7,0,0,0,7,0,0,0,212,44,31,13,0,6,0,115,39,0,8,1,0,0,0,35,1,1,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,41,80,41,0,41,32,22,4,1,1,0,0,12,15,7,255,1,0,0,0,1,67,0,0,0,0,0,56,11,68,0,0,0,0,80,0,0,80,0,0,0,0,26,0,13,58,92,0,71,0,340,35,1375
4,Bongaigaon,16,1,93,0,0,0,0,0,0,93,9,0,35,0,0,0,379,0,0,0,0,0,0,379,187,192,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,149,2,0,2,0,0,0,89,29,0,29,3,0,0,0,45,13,0,799,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,386,247,139,129,87,42,5,31,0,2,2,0,0,0,14,0,567,1,0,0,0,1,164,0,0,0,0,0,164,0,165,0,0,0,0,130,0,130,0,0,0,0,0,0,0,11,0,338,0,0,0,479,697,2709
5,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
6,Cachar,53,0,100,100,0,100,0,0,0,0,8,0,5,0,3,0,347,0,0,0,0,0,0,347,347,0,0,0,0,0,0,0,149,126,23,0,0,0,23,0,0,0,406,323,0,323,0,0,0,0,0,0,83,1,0,0,0,51,8,0,1131,0,0,0,0,149,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,254,733,209,524,257,0,257,49,35,0,14,13,1,0,0,108,0,1196,6,0,0,0,6,167,0,0,0,0,0,99,68,173,0,0,0,0,455,0,355,100,0,0,0,0,0,0,40,403,457,0,0,0,1355,1450,5559
7,Chirang,13,0,1,0,0,0,0,0,0,1,0,3,19,0,0,0,91,32,17,6,9,0,0,59,59,0,0,0,0,0,0,42,17,17,0,0,0,0,0,0,0,0,70,0,0,0,0,0,2,17,0,0,51,2,0,0,0,30,0,1,289,18,18,0,18,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,0,0,27,144,71,73,47,0,47,14,5,0,2,2,0,0,0,16,0,228,2,0,0,0,2,40,0,0,0,0,0,35,5,42,0,0,0,0,66,66,0,0,0,0,1,0,35,0,5,0,74,0,32,0,213,0,817
8,Darrang,34,0,65,0,0,0,0,0,0,65,4,0,0,0,0,0,574,208,158,50,0,0,0,366,212,129,0,0,25,0,0,91,366,224,51,0,0,0,51,79,6,6,246,0,0,0,0,0,0,103,111,0,32,5,0,0,0,80,18,0,1483,0,0,0,0,0,50,0,0,0,0,0,0,0,0,8,0,23,6,9,0,0,0,4,0,0,0,0,50,319,89,230,143,21,122,0,15,0,1,1,0,0,0,23,0,501,2,0,0,0,2,281,0,0,0,0,0,239,42,283,0,0,0,0,180,0,0,180,0,0,0,0,0,0,15,0,552,1,0,0,748,933,3998
9,Dhemaji,14,0,69,69,69,0,0,0,0,0,6,1,28,0,0,0,181,21,13,8,0,0,0,160,88,72,0,0,0,0,0,0,98,71,13,0,0,0,13,13,1,0,112,0,0,0,0,0,0,48,61,0,3,1,0,2,0,43,20,0,575,0,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,32,147,38,109,48,2,46,26,15,0,7,7,0,0,0,6,0,249,2,0,0,0,2,91,47,2,1,0,44,40,4,93,0,0,0,0,36,0,6,30,0,0,0,0,0,0,19,2,149,0,12,0,218,140,1307
10,Dhubri,46,1,88,88,88,0,0,0,0,0,15,5,66,0,1,1,1446,583,452,43,79,0,9,863,695,168,0,0,0,0,0,112,560,287,104,0,0,0,104,155,2,12,462,47,0,47,1,11,9,151,136,0,107,14,0,3,0,81,54,2,2957,1,0,1,1,167,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,3,3,0,0,455,689,97,592,178,0,178,123,41,0,9,9,0,0,0,222,0,1262,1,0,0,0,1,180,72,0,0,0,72,71,37,181,0,0,0,0,208,16,14,178,1,0,18,0,1,15,65,204,1054,0,77,2,1645,118,6619
11,Dibrugarh,54,0,330,0,0,0,9,0,0,321,6,8,27,0,0,0,105,0,0,0,0,0,0,105,65,40,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,401,164,0,164,0,0,0,146,3,0,88,1,0,0,0,31,2,0,1017,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,477,89,388,111,0,111,18,53,0,2,2,0,0,0,121,0,782,2,0,0,0,2,116,0,0,0,0,0,107,9,118,0,0,0,0,124,38,51,35,0,0,0,0,0,0,19,0,299,0,0,0,442,1726,4088
12,GRP,9,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,2,1,0,0,7,0,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,25,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,411,15,396,0,0,0,4,4,0,2,2,0,0,0,4,0,425,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,52,514
13,Goalpara,22,0,0,0,0,0,0,0,0,0,6,0,29,0,0,0,518,0,0,0,0,0,0,518,310,205,3,0,0,0,0,0,100,67,10,0,0,0,10,23,0,0,168,45,45,0,0,0,1,79,43,0,0,4,0,0,0,48,28,0,923,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,265,140,125,176,58,118,46,7,0,4,4,0,0,0,33,0,531,1,0,0,0,1,80,0,0,0,0,0,80,0,81,0,0,0,0,174,0,174,0,0,0,0,0,12,0,20,0,123,0,0,0,329,535,2422
14,Golaghat,45,0,112,110,0,110,0,1,0,1,1,7,33,0,0,0,377,83,58,25,0,0,0,294,213,78,0,0,0,3,0,0,122,66,29,0,0,0,29,24,0,3,247,83,0,83,0,0,1,75,39,0,49,4,0,0,0,55,4,0,1007,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,0,0,25,394,104,290,78,6,72,32,32,0,14,14,0,0,0,53,6,609,1,0,0,0,1,85,1,0,0,0,1,84,0,86,0,9,0,0,92,0,6,86,0,0,87,0,0,5,9,147,310,0,7,3,669,565,2961
15,Guwahati City,80,5,260,256,39,217,0,4,0,0,5,19,53,0,0,0,4943,3371,1250,946,84,598,493,1572,573,683,1,0,65,123,127,0,198,149,17,0,0,0,17,14,5,13,650,112,0,112,0,1,4,207,167,0,159,8,0,7,0,131,6,1,6366,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,12,3742,1363,2379,963,151,812,134,335,0,6,5,1,0,0,393,0,5573,82,0,0,0,82,1784,240,220,20,0,0,1262,282,1866,0,0,0,0,532,189,50,293,0,0,0,0,0,0,26,0,688,0,25,18,1289,70,15176
16,Hailakandi,19,0,32,31,0,31,0,1,0,0,7,2,23,0,0,2,340,152,100,42,10,0,0,188,144,41,0,0,0,2,1,20,88,48,28,0,0,0,28,10,0,2,91,6,6,0,0,1,0,73,0,0,11,0,0,0,0,81,8,0,713,0,0,0,0,95,108,0,0,0,0,0,0,0,0,0,0,88,20,0,0,0,0,0,0,0,0,0,203,132,36,96,56,0,56,33,41,0,0,0,0,0,0,35,8,305,3,0,0,0,3,99,0,0,0,0,0,87,12,102,0,4,0,0,124,0,41,83,0,0,95,0,2,0,22,161,273,0,66,0,747,0,2070
17,Hamren,6,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,35,10,0,10,0,0,0,15,0,0,10,0,0,0,0,17,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,22,17,0,17,15,4,0,0,0,0,0,0,16,0,75,1,0,0,0,1,14,14,0,0,0,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,19,162,351
18,Jorhat,43,3,89,72,64,8,0,7,0,10,2,0,4,0,0,0,543,160,85,75,0,0,0,383,136,190,0,0,0,0,57,0,115,81,23,11,6,0,6,5,2,4,300,137,30,107,0,0,0,66,17,0,80,2,0,0,0,34,12,1,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,225,441,99,32,67,64,33,0,2,2,0,0,0,0,0,864,0,0,0,0,0,313,83,8,25,15,35,175,55,313,0,0,0,0,214,81,49,84,0,0,0,0,0,0,9,34,388,0,0,0,645,1240,4210
19,Kamrup,44,0,536,0,0,0,0,0,0,536,3,0,16,0,0,0,338,0,0,0,0,0,0,338,237,101,0,0,0,0,0,0,89,83,6,0,0,0,6,0,0,0,225,38,10,28,0,0,2,66,10,0,109,7,0,0,0,90,5,0,1353,0,0,0,0,13,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,102,528,164,364,175,123,52,85,46,0,9,9,0,0,0,109,0,952,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,128,0,128,0,0,0,0,0,0,0,20,0,350,0,0,16,514,2217,5140
20,Karbi Anglong,28,2,39,37,1,36,0,1,0,1,3,0,13,0,0,1,184,48,30,5,3,0,10,136,121,13,0,0,0,1,1,2,33,25,6,0,0,0,6,0,0,2,108,30,15,15,0,0,9,25,35,0,9,7,0,0,0,14,1,0,435,5,0,5,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,5,0,3,18,128,56,72,41,0,41,39,2,0,3,3,0,0,0,28,16,257,1,0,0,0,1,45,5,2,3,0,0,29,11,46,2,0,0,0,31,6,2,23,1,0,28,1,0,1,14,2,69,0,8,6,163,14,938
21,Karimganj,32,1,44,40,40,0,0,0,0,4,11,0,20,0,0,0,210,0,0,0,0,0,0,210,91,118,1,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,146,47,47,0,0,0,2,65,0,0,32,1,0,0,0,66,8,0,604,0,0,0,0,90,30,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,12,4,4,0,0,124,259,74,185,172,0,172,17,9,0,5,5,0,1,0,35,0,498,1,0,0,0,1,106,0,0,0,0,0,89,17,107,0,0,0,0,97,0,97,0,0,0,0,0,0,0,33,0,259,0,0,34,423,1079,2835
22,Kokrajhar,32,0,188,125,0,125,0,0,0,63,4,0,15,0,0,0,122,0,0,0,0,0,0,122,0,0,0,0,0,0,122,0,67,12,55,0,0,0,55,0,0,0,53,0,0,0,0,0,0,51,0,0,2,9,0,0,0,35,12,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,163,147,66,0,66,33,13,0,2,2,0,0,0,43,0,467,0,0,0,0,0,82,0,0,0,0,0,82,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,168,0,1254
23,Lakhimpur,41,0,91,91,0,91,0,0,0,0,7,0,84,0,0,0,184,0,0,0,0,0,0,184,177,7,0,0,0,0,0,12,26,18,8,0,0,0,8,0,0,0,444,50,50,0,0,0,13,294,32,0,55,17,0,0,0,69,0,0,975,3,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,265,40,225,201,0,201,47,24,0,15,15,0,0,0,55,0,607,4,0,0,0,4,91,89,0,0,0,89,2,0,95,0,0,0,0,152,0,152,0,0,0,0,0,0,0,20,0,438,0,0,0,610,1521,3824
24,Morigaon,42,0,103,103,0,103,0,0,0,0,5,0,158,0,0,2,606,360,320,40,0,0,0,246,200,43,0,0,3,0,0,5,28,28,0,0,0,0,0,0,0,0,207,11,0,11,0,0,0,142,54,0,0,16,0,0,0,84,0,0,1256,0,0,0,0,170,56,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,226,257,78,179,134,10,124,0,21,0,10,10,0,0,0,11,0,433,0,0,0,0,0,156,0,0,0,0,0,156,0,156,0,0,0,0,150,0,0,150,0,0,0,0,0,0,15,0,355,0,0,0,520,434,3025
25,Dima Hasao,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,0,4,0,0,6,12,1,0,18,1,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,11,20,3,0,2,2,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,100
26,Nagaon,68,2,441,436,436,0,0,0,0,5,7,5,80,0,0,0,460,0,0,0,0,0,0,460,278,181,0,1,0,0,0,0,304,159,25,0,0,0,25,101,3,16,455,22,0,22,0,0,3,171,237,0,22,11,0,0,0,93,29,0,1955,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0,23,15,0,0,0,0,21,0,0,0,0,118,718,170,548,294,82,212,47,89,5,12,12,0,5,0,200,20,1390,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,261,0,140,121,0,0,0,0,0,0,43,870,963,0,0,0,2139,625,6229
27,Nalbari,14,0,68,36,10,26,0,0,0,32,2,0,14,0,0,0,201,73,44,29,0,0,0,128,63,65,0,0,0,0,0,20,64,64,0,0,0,0,0,0,0,0,113,40,0,40,0,0,0,54,0,0,19,2,0,0,0,44,0,0,542,14,0,14,14,21,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,5,5,0,0,37,274,145,129,134,34,100,27,25,0,1,1,0,2,8,60,0,531,2,0,0,0,2,60,5,0,0,0,5,30,25,62,7,0,0,0,201,108,53,40,0,0,0,0,16,0,7,18,184,0,9,7,449,503,2138
28,RPO,6,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,13,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,16,30,89
29,SOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,STF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Sibsagar,37,5,42,42,0,42,0,0,0,0,4,1,17,0,0,0,315,49,27,22,0,0,0,266,214,52,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,421,15,15,0,0,0,0,185,0,0,221,0,0,0,0,11,9,0,882,0,0,0,0,28,14,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,9,0,0,0,0,42,331,61,270,122,13,109,31,27,0,3,3,0,0,0,52,0,566,0,0,0,0,0,141,0,0,0,0,0,134,7,141,0,1,0,0,93,0,93,0,0,0,37,0,0,0,11,109,233,0,65,12,561,218,2410
32,Sonitpur,54,2,99,0,0,0,0,0,0,99,0,3,23,0,0,0,379,70,16,15,10,26,3,309,112,110,0,0,47,40,0,11,56,39,0,0,0,0,0,16,1,0,394,53,51,2,0,0,0,306,6,0,29,23,0,0,0,50,7,0,1101,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,419,131,288,226,100,126,0,14,0,1,1,0,0,0,8,0,668,1,0,0,0,1,230,0,0,0,0,0,230,0,231,0,0,0,0,223,0,223,0,0,0,0,0,0,0,7,0,383,0,0,0,613,1787,4402
